DES_CATEGORIA_MATERIAL,DES_MARCA_MATERIAL,FLG_DATA,PCT_DESCONTO,flg_mkt,ANO,CICLO,VL_PRECO_BOX_COX,QT_VENDA_lagged_3
5,44,0,0.0,0,3,01,0.7021532829849803,5880.0
5,51,1,0.0,0,3,16,0.7021593879424464,5880.0
5,51,0,0.0,0,3,01,0.7021593879424464,5880.0
5,80,1,0.0,0,3,16,0.7021549329982006,5880.0
5,80,1,0.0,0,3,17,0.7021549329982006,5880.0
5,22,1,0.0,0,3,16,0.7021060965447883,5880.0
4,37,1,0.0,0,3,17,0.7020984581729987,5880.0
4,37,1,0.0,0,3,16,0.7021006211751335,5880.0
4,22,0,0.0,0,3,01,0.7020030556911854,5880.0
0,37,1,0.0,0,3,16,0.7021100106203099,5880.0
0,37,1,0.0,0,3,17,0.7021059275556,5880.0
0,37,0,0.0,0,3,01,0.7021059275556,5880.0
0,37,0,0.0,0,3,01,0.7020708673063729,5880.0
4,58,1,0.0,0,3,17,0.7021152679968201,5880.0
4,58,0,20.0,1,3,01,0.7021008425967908,5880.0
5,40,1,0.0,0,3,17,0.7021244197111483,5880.0
2,54,1,0.0,0,3,16,0.702002488687047,5880.0
3,52,1,0.0,0,3,17,0.7020183981995799,5880.0
5,61,1,0.0,0,3,16,0.7021654777786821,5880.0
0,65,1,0.0,0,3,16,0.702008039864291,5880.0
5,59,1,0.0,0,3,17,0.7021654777786821,5880.0
5,37,1,0.0,0,3,16,0.7020369601358011,5880.0
5,37,1,0.0,0,3,17,0.7020369601358011,5880.0
1,61,1,0.0,0,3,17,0.7021267484173326,5880.0
4,31,0,0.0,0,3,01,0.7020736441312808,5880.0
5,5,1,0.0,0,3,17,0.7021387048198826,5880.0
5,61,1,0.0,0,3,16,0.7021703183566566,5880.0
5,37,1,0.0,0,3,16,0.7021024423645792,5880.0
5,37,1,0.0,0,3,17,0.7021024423645792,5880.0
5,37,1,0.0,0,3,16,0.7021060796678157,5880.0
5,37,0,0.0,0,3,01,0.7021060796678157,5880.0
5,37,1,0.0,0,3,16,0.7021060796678157,5880.0
5,37,0,0.0,0,3,01,0.7021060796678157,5880.0
0,33,1,0.0,0,3,17,0.7020058507394273,5880.0
0,33,1,0.0,0,3,17,0.7020271835488179,5880.0
5,75,1,0.0,0,3,16,0.7021683259246887,5880.0
5,75,1,0.0,0,3,17,0.7021667215602092,5880.0
5,75,0,12.9,1,3,01,0.7021703183566566,5880.0
0,54,1,0.0,0,3,16,0.7020586962263123,5880.0
4,37,1,0.0,0,3,16,0.702008039864291,5880.0
3,20,1,0.0,0,3,16,0.7020348675762779,5880.0
5,44,1,0.0,0,3,17,0.7021059275556,5880.0
5,65,0,0.0,0,3,01,0.7021321893192991,5880.0
2,49,1,0.0,0,3,16,0.7020369187129749,5880.0
2,44,1,0.0,0,3,17,0.7020369187129749,5880.0
5,77,1,0.0,0,3,17,0.7021751886273453,5880.0
5,66,1,0.0,0,3,16,0.7021688203478347,5880.0
5,66,1,0.0,0,3,17,0.7021688203478347,5880.0
5,66,0,30.0,1,3,01,0.7021688203478347,5880.0
